Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;
20:01:26.443806;IP;localhost;domain ; localhost;32827;;;;;;24263;3/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.,;A;1;;;;;;;;;;;;;;;;;
20:01:26.443848;IP;localhost;32827; localhost;domain;;;;;;62161;[1au];AAAA?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:26.444007;IP;localhost;domain ; localhost;32827;;;;;;62161;1/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.;-104;1;;;;;;;;;;;;;;;;;
20:01:26.459082;IP;localhost;59343; localhost;domain;;;;;;14023;[1au];A?;securepubads.g.doubleclick.net.;-59;1;;;;;;;;;;;;;;;;;
20:01:26.459573;IP;localhost;domain ; localhost;59343;;;;;;14023;2/0/1;CNAME;partnerad.l.doubleclick.net.,;A;1;;;;;;;;;;;;;;;;;
20:01:26.459647;IP;localhost;59343; localhost;domain;;;;;;22226;[1au];AAAA?;securepubads.g.doubleclick.net.;-59;1;;;;;;;;;;;;;;;;;
20:01:26.483143;IP;localhost;domain ; localhost;59343;;;;;;22226;1/0/1;CNAME;partnerad.l.doubleclick.net.;-85;1;;;;;;;;;;;;;;;;;
20:01:26.518665;IP;localhost;47427; localhost;domain;;;;;;62033;[1au];A?;33across-d.openx.net.;-49;1;;;;;;;;;;;;;;;;;
20:01:26.519099;IP;localhost;47427; localhost;domain;;;;;;28252;[1au];AAAA?;33across-d.openx.net.;-49;1;;;;;;;;;;;;;;;;;
20:01:26.519215;IP;localhost;domain ; localhost;47427;;;;;;28252;0/0/1;-49;;;1;;;;;;;;;;;;;;;;;
